"device","timestamp","payload"
"ESP32-C6 FootStep","2026-05-01 14:12:52","{""sequence"":{""N"":""249""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:52""},""voltage"":{""N"":""3.52""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:53","{""sequence"":{""N"":""259""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:53""},""voltage"":{""N"":""3.53""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:54","{""sequence"":{""N"":""269""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:54""},""voltage"":{""N"":""3.52""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:55","{""sequence"":{""N"":""279""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:55""},""voltage"":{""N"":""3.5""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:56","{""sequence"":{""N"":""288""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:56""},""voltage"":{""N"":""3.49""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:57","{""sequence"":{""N"":""299""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:57""},""voltage"":{""N"":""3.49""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:58","{""sequence"":{""N"":""308""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:58""},""voltage"":{""N"":""3.48""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:59","{""sequence"":{""N"":""318""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:59""},""voltage"":{""N"":""3.49""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:00","{""sequence"":{""N"":""328""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:00""},""voltage"":{""N"":""3.5""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:01","{""sequence"":{""N"":""339""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:01""},""voltage"":{""N"":""3.5""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:02","{""sequence"":{""N"":""349""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:02""},""voltage"":{""N"":""3.5""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:03","{""sequence"":{""N"":""359""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:03""},""voltage"":{""N"":""3.51""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:04","{""sequence"":{""N"":""369""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:04""},""voltage"":{""N"":""3.53""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:05","{""sequence"":{""N"":""378""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:05""},""voltage"":{""N"":""3.53""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:06","{""sequence"":{""N"":""389""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:06""},""voltage"":{""N"":""3.55""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:07","{""sequence"":{""N"":""398""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:07""},""voltage"":{""N"":""3.54""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:08","{""sequence"":{""N"":""408""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:08""},""voltage"":{""N"":""3.56""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:09","{""sequence"":{""N"":""418""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:09""},""voltage"":{""N"":""3.53""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:10","{""sequence"":{""N"":""429""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:10""},""voltage"":{""N"":""3.54""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:11","{""sequence"":{""N"":""438""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:11""},""voltage"":{""N"":""3.55""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:12","{""sequence"":{""N"":""449""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:12""},""voltage"":{""N"":""3.54""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:13","{""sequence"":{""N"":""458""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:13""},""voltage"":{""N"":""3.54""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:14","{""sequence"":{""N"":""469""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:14""},""voltage"":{""N"":""3.54""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:15","{""sequence"":{""N"":""478""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:15""},""voltage"":{""N"":""3.53""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:16","{""sequence"":{""N"":""489""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:16""},""voltage"":{""N"":""3.55""}}"
"ESP32-C6 FootStep","2026-05-01 14:13:17","{""sequence"":{""N"":""497""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:13:17""},""voltage"":{""N"":""3.54""}}"
